"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US01008","ZCTA5 01008","1317",
"860Z200US01009","ZCTA5 01009","980",
"860Z200US01010","ZCTA5 01010","3711",
"860Z200US01011","ZCTA5 01011","1201",
"860Z200US01012","ZCTA5 01012","519",
"860Z200US01013","ZCTA5 01013","23656",
"860Z200US01020","ZCTA5 01020","29781",
"860Z200US01022","ZCTA5 01022","2158",
"860Z200US01026","ZCTA5 01026","1011",
"860Z200US01027","ZCTA5 01027","17896",
"860Z200US01028","ZCTA5 01028","16417",
"860Z200US01029","ZCTA5 01029","714",
"860Z200US01030","ZCTA5 01030","11708",
"860Z200US01031","ZCTA5 01031","1406",
"860Z200US01032","ZCTA5 01032","483",
"860Z200US01033","ZCTA5 01033","6092",
"860Z200US01034","ZCTA5 01034","1977",
"860Z200US01035","ZCTA5 01035","5325",
"860Z200US01036","ZCTA5 01036","4966",
"860Z200US01037","ZCTA5 01037","706",
"860Z200US01038","ZCTA5 01038","2522",
"860Z200US01039","ZCTA5 01039","1511",
"860Z200US01040","ZCTA5 01040","38238",
"860Z200US01050","ZCTA5 01050","2467",
"860Z200US01053","ZCTA5 01053","2031",
"860Z200US01054","ZCTA5 01054","1889",
"860Z200US01056","ZCTA5 01056","21002",
"860Z200US01057","ZCTA5 01057","8152",
"860Z200US01060","ZCTA5 01060","14461",
"860Z200US01062","ZCTA5 01062","10910",
"860Z200US01063","ZCTA5 01063","2106",
"860Z200US01066","ZCTA5 01066","215",
"860Z200US01068","ZCTA5 01068","1904",
"860Z200US01069","ZCTA5 01069","8428",
"860Z200US01070","ZCTA5 01070","577",
"860Z200US01071","ZCTA5 01071","1486",
"860Z200US01072","ZCTA5 01072","1366",
"860Z200US01073","ZCTA5 01073","6224",
"860Z200US01074","ZCTA5 01074","584",
"860Z200US01075","ZCTA5 01075","18168",
"860Z200US01077","ZCTA5 01077","9237",
"860Z200US01079","ZCTA5 01079","701",
"860Z200US01080","ZCTA5 01080","2400",
"860Z200US01081","ZCTA5 01081","1684",
"860Z200US01082","ZCTA5 01082","10565",
"860Z200US01083","ZCTA5 01083","2549",
"860Z200US01084","ZCTA5 01084","185",
"860Z200US01085","ZCTA5 01085","41529",
"860Z200US01088","ZCTA5 01088","598",
"860Z200US01089","ZCTA5 01089","28835",
"860Z200US01092","ZCTA5 01092","1343",
"860Z200US01093","ZCTA5 01093","290",
"860Z200US01094","ZCTA5 01094","60",
"860Z200US01095","ZCTA5 01095","14694",
"860Z200US01096","ZCTA5 01096","2509",
"860Z200US01097","ZCTA5 01097","130",
"860Z200US01098","ZCTA5 01098","1147",
"860Z200US01103","ZCTA5 01103","2545",
"860Z200US01104","ZCTA5 01104","23598",
"860Z200US01105","ZCTA5 01105","12051",
"860Z200US01106","ZCTA5 01106","16165",
"860Z200US01107","ZCTA5 01107","11252",
"860Z200US01108","ZCTA5 01108","27671",
"860Z200US01109","ZCTA5 01109","30968",
"860Z200US01118","ZCTA5 01118","14296",
"860Z200US01119","ZCTA5 01119","14393",
"860Z200US01128","ZCTA5 01128","2647",
"860Z200US01129","ZCTA5 01129","7024",
"860Z200US01144","ZCTA5 01144","0",
"860Z200US01151","ZCTA5 01151","9150",
"860Z200US01201","ZCTA5 01201","45494",
"860Z200US01220","ZCTA5 01220","8166",
"860Z200US01222","ZCTA5 01222","835",
